subid,convert_TF
26571161,TRUE
23259969,FALSE
20180636,TRUE
23100755,TRUE
26437841,TRUE
22075948,TRUE
21909471,FALSE
26679189,FALSE
24555921,FALSE
29416891,TRUE
29416559,TRUE
29216401,FALSE
23064617,FALSE
29249413,TRUE
29469745,FALSE
26392028,FALSE
24314262,FALSE
24633614,TRUE
29196101,TRUE
29824620,FALSE
26764750,TRUE
25562985,FALSE
22505644,TRUE
21070262,TRUE
21144182,FALSE
26431648,TRUE
27679548,FALSE
27755194,FALSE
26666296,FALSE
27636378,FALSE
28646542,FALSE
29487260,TRUE
21637141,FALSE
27986309,FALSE
20078231,FALSE
21642797,TRUE
23822058,TRUE
24447889,TRUE
23014882,TRUE
29141344,TRUE
24030994,FALSE
25265631,FALSE
24720008,TRUE
25283409,TRUE
22910014,FALSE
27269296,FALSE
21546075,TRUE
23694154,TRUE
25745238,FALSE
25125885,FALSE
22248135,TRUE
22549713,TRUE
20387939,TRUE
21434741,FALSE
20550763,TRUE
25588430,FALSE
26341615,TRUE
20226836,TRUE
29249489,FALSE
28964234,TRUE
27716313,FALSE
22093549,FALSE
27552704,FALSE
26259899,TRUE
27419873,TRUE
23769457,TRUE
28714455,TRUE
25755882,TRUE
29040694,FALSE
21894653,TRUE
20295994,TRUE
24759647,TRUE
22475624,FALSE
20003308,TRUE
23678052,FALSE
27662578,TRUE
21718804,FALSE
20516749,FALSE
21833151,TRUE
22546351,TRUE
27236239,TRUE
23740921,FALSE
29917188,TRUE
21789215,TRUE
27137726,TRUE
21430525,TRUE
23454549,TRUE
21121562,TRUE
27477108,FALSE
27988556,TRUE
27974043,TRUE
27755165,TRUE
28093334,TRUE
26349838,FALSE
28490659,FALSE
23059135,FALSE
23314450,FALSE
22315818,TRUE
22011659,FALSE
21025221,FALSE
24739975,FALSE
22843286,TRUE
26489680,TRUE
22528364,FALSE
28869796,TRUE
29414504,FALSE
29739594,TRUE
29569876,FALSE
26495875,TRUE
28044612,TRUE
23337235,TRUE
27691941,TRUE
20672759,TRUE
28586521,TRUE
21263592,TRUE
24183477,TRUE
23262869,TRUE
28375711,FALSE
21669849,FALSE
29677484,TRUE
21301162,TRUE
21501039,FALSE
28297329,FALSE
28665779,FALSE
28491038,FALSE
21685674,FALSE
23878711,TRUE
24966283,TRUE
27502858,TRUE
27563313,TRUE
29117110,FALSE
26783005,TRUE
26668404,TRUE
26356540,FALSE
20823225,TRUE
28545831,FALSE
22662485,TRUE
21162907,TRUE
20374662,TRUE
21121321,TRUE
27414772,TRUE
20683542,TRUE
21729528,TRUE
23126131,TRUE
29063732,FALSE
23275319,FALSE
22090181,TRUE
22966699,FALSE
29699540,FALSE
25739296,TRUE
27222875,FALSE
27324376,FALSE
26573481,FALSE
22024504,FALSE
25007581,TRUE
26401895,TRUE
25833884,FALSE
26690928,FALSE
23278110,TRUE
27911724,TRUE
21208209,TRUE
29706029,TRUE
26744587,FALSE
24797368,TRUE
21870041,TRUE
23089125,TRUE
27895568,TRUE
27763746,FALSE
23527607,TRUE
22597793,TRUE
25690965,TRUE
24871744,TRUE
20695156,TRUE
21782483,FALSE
28147126,FALSE
20177847,FALSE
27818945,TRUE
20217937,TRUE
27069050,FALSE
25467771,TRUE
24046699,TRUE
21394933,TRUE
23585916,TRUE
21156352,TRUE
28941162,FALSE
28338965,TRUE
28691864,TRUE
20899233,TRUE
24298824,FALSE
28539107,TRUE
24896067,TRUE
24760191,TRUE
24105916,FALSE
23422646,FALSE
26836207,TRUE
21095173,TRUE
21631559,FALSE
23223638,TRUE
27695812,FALSE
24286742,TRUE
23945619,FALSE
29440612,TRUE
27307263,TRUE
22799928,TRUE
29236363,TRUE
21497499,TRUE
28357035,TRUE
24760297,FALSE
25080507,TRUE
21040148,TRUE
21581300,FALSE
25065878,TRUE
26304931,FALSE
29506739,FALSE
29929895,FALSE
20220482,FALSE
25907594,TRUE
21186864,TRUE
24007500,FALSE
23627036,TRUE
25090817,FALSE
25859718,TRUE
27044473,TRUE
29657675,TRUE
23781115,TRUE
27555619,FALSE
29003639,TRUE
21757320,FALSE
21006524,FALSE
27130787,TRUE
20855064,TRUE
29308581,TRUE
27280971,TRUE
20272763,TRUE
29174248,TRUE
26736702,FALSE
20042910,TRUE
26722649,FALSE
22260234,FALSE
29621647,FALSE
29708651,TRUE
29681195,FALSE
22973008,TRUE
24116584,TRUE
28975252,TRUE
21859673,FALSE
26630796,FALSE
21144197,TRUE
27167128,TRUE
29932816,FALSE
20657793,TRUE
27500661,TRUE
29861396,FALSE
21515380,TRUE
23541888,FALSE
29763370,FALSE
28096869,TRUE
26540844,TRUE
22185650,FALSE
21411301,FALSE
22666810,FALSE
21847744,TRUE
26712366,TRUE
28278232,TRUE
24928024,FALSE
20464794,FALSE
26299782,FALSE
28712126,TRUE
27285221,TRUE
24126681,TRUE
22928574,FALSE
23345737,TRUE
23454158,TRUE
20164408,FALSE
22911533,TRUE
22790247,TRUE
27672970,TRUE
26739201,FALSE
22676726,FALSE
25701462,FALSE
21800170,TRUE
20894095,FALSE
26119879,TRUE
20400450,TRUE
25196446,FALSE
29375009,TRUE
25294814,TRUE
21485955,FALSE
22677269,FALSE
22863425,FALSE
27399500,FALSE
27394285,FALSE
27088341,TRUE
21183479,FALSE
26323478,TRUE
22941131,TRUE
25828212,TRUE
22538274,FALSE
21551755,TRUE
27040240,FALSE
21455041,FALSE
27759092,FALSE
26554791,TRUE
28870507,TRUE
21302842,TRUE
23950507,TRUE
27907667,TRUE
22141193,FALSE
22831493,TRUE
27822373,TRUE
24149234,FALSE
28350193,TRUE
29944764,TRUE
26691577,FALSE
21448986,FALSE
27463149,TRUE
29274747,FALSE
24579859,TRUE
21470146,TRUE
21266981,TRUE
28003560,FALSE
29937735,FALSE
28071383,TRUE
26669291,FALSE
24823544,TRUE
21359659,TRUE
20426515,TRUE
27622647,FALSE
21488632,TRUE
21378069,FALSE
28471747,TRUE
22021981,FALSE
21453210,TRUE
28909928,TRUE
29361431,TRUE
25162932,FALSE
26861262,TRUE
26411666,TRUE
28453677,TRUE
27001596,FALSE
20272825,TRUE
24757013,TRUE
27168401,TRUE
23256199,FALSE
20532800,TRUE
25995406,FALSE
29335698,TRUE
23383832,FALSE
29440530,FALSE
25305633,TRUE
20325547,TRUE
27410831,TRUE
23338040,TRUE
23993439,FALSE
25125875,FALSE
26473651,TRUE
27379682,FALSE
20039664,FALSE
25843115,TRUE
27644135,FALSE
29972794,TRUE
28229969,FALSE
29446069,TRUE
20707117,FALSE
26599726,FALSE
22018349,FALSE
28128053,TRUE
28773532,FALSE
25319422,FALSE
21362678,TRUE
21321605,TRUE
27077804,TRUE
27530005,TRUE
28578819,FALSE
24124546,FALSE
21061818,TRUE
29468415,TRUE
26640929,TRUE
29523351,TRUE
27290732,TRUE
21991792,FALSE
28029387,FALSE
24145624,FALSE
20829174,TRUE
25437454,FALSE
20649438,FALSE
23154078,FALSE
20198966,FALSE
26700116,TRUE
25736214,TRUE
29838331,TRUE
21567059,FALSE
22091800,TRUE
25308371,FALSE
22935368,TRUE
23728893,FALSE
20707523,TRUE
26063569,TRUE
29720670,FALSE
27307422,TRUE
20203755,TRUE
23171950,TRUE
23595042,TRUE
25058640,FALSE
20088954,TRUE
22236169,TRUE
26047395,TRUE
20637847,TRUE
28684040,TRUE
27635063,TRUE
26332850,TRUE
28846489,TRUE
21354327,TRUE
24154109,FALSE
20148286,FALSE
29399091,TRUE
20148778,FALSE
25629856,TRUE
29878999,TRUE
27357450,TRUE
22158499,FALSE
26988561,FALSE
23971599,FALSE
22282368,FALSE
24876759,FALSE
28868293,FALSE
27703690,TRUE
24430923,FALSE
20614265,TRUE
21687226,TRUE
24235120,FALSE
28835301,FALSE
21191391,TRUE
26380946,TRUE
22334337,FALSE
20136903,FALSE
24013084,TRUE
23375217,TRUE
20599114,TRUE
28987406,FALSE
26634903,TRUE
20931960,FALSE
28941816,TRUE
24528264,FALSE
23344525,TRUE
28043865,FALSE
23017478,TRUE
29760456,FALSE
26691758,FALSE
23224228,FALSE
27731703,FALSE
21362102,TRUE
27061409,TRUE
24566394,TRUE
22131589,FALSE
22538543,FALSE
23703588,FALSE
21314554,FALSE
22287710,TRUE
29701951,TRUE
29603343,TRUE
27184385,FALSE
20893106,TRUE
26714603,TRUE
29910196,TRUE
27709606,TRUE
29300261,FALSE
29684531,TRUE
22968937,FALSE
22740098,TRUE
22152318,TRUE
22392482,TRUE
21028607,TRUE
22581312,TRUE
29223917,TRUE
